"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1628,0.0206896551724138,0.020473448496481
394913,"New York, NY","Msa",1,2332,0.021015761821366,0.0106194690265486
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa",2,2669,0.0245681381957774,0.0038535645472062
394463,"Chicago, IL","Msa",3,1652,0.0216450216450217,0.0260152284263959
394514,"Dallas-Fort Worth, TX","Msa",4,1493,0.0353675450762829,0.0169252468265162
394974,"Philadelphia, PA","Msa",5,1520,0.0140093395597065,0.030949105914718
394692,"Houston, TX","Msa",6,1396,0.0123277737490934,0.000725689404934782
395209,"Washington, DC","Msa",7,2012,0.0177035912999495,0.0270129870129869
394856,"Miami-Fort Lauderdale, FL","Msa",8,1892,0.0215982721382288,0.028317601332593
394347,"Atlanta, GA","Msa",9,1527,0.0487637362637363,0.0467289719626167
394404,"Boston, MA","Msa",10,2486,0.027697395618024,0.0328778821520068
395057,"San Francisco, CA","Msa",11,3277,0.0340801514673399,0.0173354735152489
394532,"Detroit, MI","Msa",12,1240,0.0205761316872428,0.0253164556962024
395025,"Riverside, CA","Msa",13,1984,0.0387434554973822,0.0352303523035231
394976,"Phoenix, AZ","Msa",14,1507,0.0710732054015637,0.0602863602110022
395078,"Seattle, WA","Msa",15,2118,0.0392541707556429,0.0246354952237304
394865,"Minneapolis-St Paul, MN","Msa",16,1536,0.0260521042084167,0.01354096140826
395056,"San Diego, CA","Msa",17,2630,0.0428231562252182,0.0327600327600328
395121,"St. Louis, MO","Msa",18,1036,0.0257425742574258,0.0150753768844221
395148,"Tampa, FL","Msa",19,1455,0.0445082555635319,0.0341499628804751
394358,"Baltimore, MD","Msa",20,1622,0.0093341630367143,0.00187032418952615
394530,"Denver, CO","Msa",21,1885,0.0578002244668911,0.0177041690462594
394982,"Pittsburgh, PA","Msa",22,1107,0.00544959128065403,0.0166204986149585
394998,"Portland, OR","Msa",23,1720,0.0411622276029056,-0.0030175015087508
394458,"Charlotte, NC","Msa",24,1372,0.0354716981132075,0.0416666666666667
395045,"Sacramento, CA","Msa",25,1892,0.0546265328874025,0.0406032482598608
395055,"San Antonio, TX","Msa",26,1249,0.0271381578947369,0.00829187396351583
394943,"Orlando, FL","Msa",27,1475,0.0401974612129761,0.0373079736649597
394466,"Cincinnati, OH","Msa",28,1202,0.0452173913043479,0.0369702434625789
394475,"Cleveland, OH","Msa",29,1090,0.0196445275958841,0.0459882583170255
394735,"Kansas City, MO","Msa",30,1145,0.0214094558429974,0.0153985507246377
394775,"Las Vegas, NV","Msa",31,1430,0.0727681920480121,0.0604614160700079
394492,"Columbus, OH","Msa",32,1211,0.0228040540540539,0.0111016225448335
394705,"Indianapolis, IN","Msa",33,1114,0.0164233576642336,0.0148148148148148
395059,"San Jose, CA","Msa",34,3465,0.0408531090417543,0.00120300751879698
394355,"Austin, TX","Msa",35,1652,0.0389937106918239,0.0271317829457365
395194,"Virginia Beach, VA","Msa",36,1353,0.011967090501122,0.017503805175038
394902,"Nashville, TN","Msa",37,1473,0.0200831024930748,0.0183356840620592
395005,"Providence, RI","Msa",38,1453,0.0175070028011204,0.0258620689655173
394862,"Milwaukee, WI","Msa",39,1111,0.021139705882353,0.0235183443085607
394714,"Jacksonville, FL","Msa",40,1394,0.0341246290801187,0.0417310664605872
394849,"Memphis, TN","Msa",41,1076,0.0276981852913085,0.0335636722606121
394935,"Oklahoma City, OK","Msa",42,957,0.0213447171824974,0.0184782608695653
394807,"Louisville-Jefferson County, KY","Msa",43,1108,0.0174471992653811,0.0263901979264844
394669,"Hartford, CT","Msa",44,1351,0.0119850187265917,0.0144376899696048
395022,"Richmond, VA","Msa",45,1360,0.0279667422524565,0.0200462606013878
394910,"New Orleans, LA","Msa",46,1304,0.0179547228727557,0.0102523659305993
394425,"Buffalo, NY","Msa",47,1024,0.00986193293885607,0.000987166831194486
395012,"Raleigh, NC","Msa",48,1323,0.0271739130434783,0.0206022187004755
394388,"Birmingham, AL","Msa",49,1083,0.0216981132075471,0.0241545893719808
395053,"Salt Lake City, UT","Msa",50,1546,0.0327321309285238,0.0183673469387755
